"","X","title.info","date","briefs","story.link"
"1467",1467,"Press statement following EurAsEC Interstate Council and Supreme Eurasian Economic Council session","2012-03-19",NA,"http://eng.kremlin.ru/transcripts/3560"
"1468",1468,"EurAsEC Interstate Council and Supreme Eurasian Economic Council summit","2012-03-19","A summit of the Eurasian Economic Community Interstate Council and Supreme Eurasian Economic Council took place at the Grand Kremlin Palace.","http://eng.kremlin.ru/news/3559"
"1469",1469,"Accreditation is open for journalists to cover Russian President’s participation in the G8 summit","2012-03-19","The Presidential Press and Information Office’s Accreditation and Briefings Department is now taking  accreditation requests to cover President of the Russian Federation’s participation in the G8 summit scheduled to take place in mid-May 2012 in the USA.","http://eng.kremlin.ru/news/3558"
"1470",1470,"Dmitry Medvedev will take part in Nuclear Security Summit","2012-03-19","The summit will take place on March 26–27, 2012 in Seoul, Republic of Korea.","http://eng.kremlin.ru/news/3555"
"1471",1471,"Congratulations to Joachim Gauck on his election as president of Germany","2012-03-19","Dmitry Medvedev sent a message of congratulations to Joachim Gauck on his election as president of Germany.","http://eng.kremlin.ru/news/3556"
"1472",1472,"Appointment of special presidential representative for Abkhazia","2012-03-16",NA,"http://eng.kremlin.ru/news/3553"
"1473",1473,"Condolences to King of the Belgians Albert II","2012-03-14","Dmitry Medvedev sent his condolences to King of the Belgians Albert II following the deaths of Belgian citizens in a bus crash in Switzerland.","http://eng.kremlin.ru/news/3544"
"1474",1474,"Condolences to President of Bangladesh Zillur Rahman","2012-03-13","Dmitry Medvedev sent his condolences to President of the People’s Republic of Bangladesh Zillur Rahman following a ferry accident that has claimed many lives.","http://eng.kremlin.ru/news/3540"
"1475",1475,"Accreditation is open for journalists to cover Dmitry Medvedev's participation in the meetings of the Supreme Eurasian Economic Council and EurAsEC Interstate Council","2012-03-13","The Presidential Press and Information Office's Department of Accreditation and Briefings is now taking accreditation requests to cover Dmitry Medvedev’s participation in the summit meetings of the Supreme Eurasian Economic Council and the Eurasian Economic Community’s Interstate Council to be held on March 19, 2012, in Moscow.","http://eng.kremlin.ru/news/3536"
"1476",1476,"Message to King Mohammed VI of Morocco","2012-03-09",NA,"http://eng.kremlin.ru/news/3524"
"1477",1477,"Vladimir Titorenko has been released of his duties as Russian Ambassador to Qatar","2012-03-09","Dmitry Medvedev signed Executive Order releasing Vladimir Titorenko of his duties as Ambassador Extraordinary and Plenipotentiary of the Russian Federation to Qatar.","http://eng.kremlin.ru/news/3529"
"1478",1478,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2012-03-06","Dmitry Medvedev and Nursultan Nazarbayev discussed a number of issues pertaining to Russian-Kazakhstani relations.","http://eng.kremlin.ru/news/3515"
"1479",1479,"Condolences to President of Poland Bronislaw Komorowski","2012-03-05","Dmitry Medvedev sent his condolences to President of the Republic of Poland Bronislaw Komorowski following a railway accident.","http://eng.kremlin.ru/news/3512"
"1480",1480,"Working meeting with Konstantin Kosachev","2012-03-05","Dmitry Medvedev appointed Konstantin Kosachev director of the Russian Cooperation Agency and special presidential representative for CIS Affairs.","http://eng.kremlin.ru/news/3513"
"1481",1481,"Condolences to President of the Republic of Congo Denis Sassou-Nguesso","2012-03-05","Dmitry Medvedev sent his condolences to President of the Republic of Congo Denis Sassou-Nguesso following a tragic accident in Brazzaville.","http://eng.kremlin.ru/news/3511"
"1482",1482,"Telephone conversation with President of Algeria Abdelaziz Bouteflika","2012-03-02","Dmitry Medvedev had a telephone conversation with President of Algeria Abdelaziz Bouteflika, during which he congratulated Mr Bouteflika on his 75th birthday.","http://eng.kremlin.ru/news/3505"
"1483",1483,"Ratification of Russian-Latvian agreement on simplifying mutual visits by residents of border territories","2012-03-02","Dmitry Medvedev signed Federal Law On Ratification of the Agreement between the Government of the Russian Federation and the Government of the Latvian Republic on Simplifying Mutual Visits by Residents of Border Territories in the Russian Federation and Latvian Republic.","http://eng.kremlin.ru/news/3502"
"1484",1484,"Ratification of protocol amending Russian-Cypriot agreement on avoiding double taxation","2012-03-02","Dmitry Medvedev signed Federal Law On Ratification of the Protocol on Amending the Agreement between the Government of the Russian Federation and the Government of the Republic of Cyprus on Avoiding Double Taxation with Regard to Taxes on Income and Capital of December 5, 1998.","http://eng.kremlin.ru/news/3503"
"1485",1485,"Ratification of convention between governments of Russia and Chile on avoiding double taxation","2012-03-02","Dmitry Medvedev signed Federal Law On Ratification of the Convention between the Government of the Russian Federation and the Government of the Republic of Chile on Avoiding Double Taxation and Preventing Tax Evasion for Taxes on Income and Capital.","http://eng.kremlin.ru/news/3501"
"1486",1486,"Message to Prime Minister of Iraq Nouri al-Maliki","2012-03-01","The Russian delegation, headed by special presidential envoy for the Middle East Deputy Foreign Minister Mikhail Bogdanov, has visited Baghdad. The message from Dmitry Medvedev was passed on to Prime Minister of Iraq Nouri al-Maliki during a meeting.","http://eng.kremlin.ru/news/3500"
"1487",1487,"Ratification of agreement between Russia and Tajikistan on cooperation on border issues","2012-03-01","Dmitry Medvedev signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of Tajikistan on Cooperation on Border Issues.","http://eng.kremlin.ru/news/3495"
"1488",1488,"Ratification of Protocol on Amending CSTO Charter","2012-03-01","Dmitry Medvedev signed Federal Law On Ratification of the Protocol on Amending the Charter of the Collective Security Treaty Organisation of October 7, 2002.","http://eng.kremlin.ru/news/3497"
"1489",1489,"Congratulations to Abdo Rabbo Mansour Hadi on his election as president of the Republic of Yemen","2012-02-26","Dmitry Medvedev sent a telegram of congratulations to Abdo Rabbo Mansour Hadi on his election as president of the Republic of Yemen.","http://eng.kremlin.ru/news/3473"
"1490",1490,"Telephone conversation with President of Tajikistan Emomali Rahmon","2012-02-25","Dmitry Medvedev had a telephone conversation with President of Tajikistan Emomali Rahmon.","http://eng.kremlin.ru/news/3472"
"1491",1491,"Joint statement by the Presidents of the Russian Federation and the Republic of Belarus","2012-02-24","A joint statement by Dmitry Medvedev and Alexander Lukashenko has been published.","http://eng.kremlin.ru/news/3470"
"1492",1492,"Meeting with President of Kyrgyzstan Almazbek Atambayev","2012-02-24","Almazbek Atambayev arrived in Moscow at Dmitry Medvedev's invitation on his first working visit to Russia as President of Kyrgyzstan.","http://eng.kremlin.ru/news/3469"
"1493",1493,"Condolences to President of Iraq Jalal Talabani and Prime Minister of Iraq Nouri al-Maliki","2012-02-23","Dmitry Medvedev sent his condolences to President of Iraq Jalal Talabani and Prime Minister of Iraq Nouri al-Maliki following the death and injury of hundreds of people caused by terrorist attacks in the capital and other cities in Iraq.","http://eng.kremlin.ru/news/3468"
